Date,アサヒグループホールディングス,エムスリー,大和ハウス工業,積水ハウス
2023-06-26,5620.0,3099.5,3790.0,2826.0
2023-06-27,5594.0,3053.5,3790.0,2832.5
2023-06-28,5670.5,3119.5,3803.0,2874.75
2023-06-29,5659.0,3167.5,3819.0,2917.75
2023-06-30,5589.0,3098.0,3773.0,2901.25
2023-07-03,5633.5,3127.5,3815.0,2945.5
2023-07-04,5631.0,3075.5,3797.5,2949.25
2023-07-05,5592.0,3051.0,3752.5,2935.5
2023-07-06,5606.0,3034.0,3739.0,2918.0
2023-07-07,5592.0,3011.25,3707.0,2878.5
2023-07-10,5481.5,3018.25,3694.0,2877.0
2023-07-11,5428.0,3056.0,3682.5,2863.5
2023-07-12,5394.5,3036.5,3703.0,2852.75
2023-07-13,5381.0,3131.0,3663.5,2838.25
2023-07-14,5434.0,3231.5,3652.0,2849.0
2023-07-18,5439.5,3220.0,3657.0,2880.25
2023-07-19,5483.5,3196.0,3703.0,2893.0
2023-07-20,5509.0,3111.5,3709.5,2908.75
2023-07-21,5532.0,3072.0,3726.0,2919.75
2023-07-24,5628.5,3116.0,3760.0,2941.0
2023-07-25,5661.5,3135.0,3831.0,2934.25
2023-07-26,5709.0,3129.5,3823.5,2918.75
2023-07-27,5658.5,3204.0,3841.0,2906.75
2023-07-28,5613.5,3132.0,3783.0,2833.0
2023-07-31,5618.0,3229.5,3865.5,2880.75
2023-08-01,5589.0,3234.0,3877.0,2899.0
2023-08-02,5562.0,3119.5,3868.0,2887.75
2023-08-03,5479.5,3033.0,3818.0,2868.0
2023-08-04,5443.0,3023.0,3769.5,2854.75
2023-08-07,5449.5,3021.0,3856.5,2862.5
2023-08-08,5527.5,3063.0,3843.0,2892.5
2023-08-09,5397.5,3045.5,3863.5,2891.75
2023-08-10,5628.5,3035.5,3866.0,2906.5
2023-08-14,5594.0,3004.5,3894.5,2920.0
2023-08-15,5573.5,2921.75,3880.5,2909.0
2023-08-16,5520.0,2877.75,3903.5,2891.0
2023-08-17,5446.5,2802.5,3916.5,2873.0
2023-08-18,5354.5,2758.5,3875.5,2843.0
2023-08-21,5315.0,2811.25,3882.5,2855.25
2023-08-22,5293.0,2827.0,3901.0,2857.25
2023-08-23,5368.0,2831.75,3951.0,2864.5
2023-08-24,5381.0,2821.5,3989.0,2888.5
2023-08-25,5425.0,2808.5,3982.5,2896.75
2023-08-28,5510.5,2837.25,4016.0,2921.75
2023-08-29,5553.5,2878.25,4041.5,2932.0
2023-08-30,5593.0,2882.75,4034.0,2935.75
2023-08-31,5632.5,2902.5,4039.5,2957.5
2023-09-01,5743.5,2919.5,4061.0,2983.75
2023-09-04,5815.5,2923.0,4103.0,3028.0
2023-09-05,5876.5,2937.25,4106.5,3051.0
2023-09-06,5806.5,2959.5,4121.5,3060.5
2023-09-07,5790.5,2889.0,4145.5,3085.5
2023-09-08,5768.0,2851.25,4108.0,3100.5
2023-09-11,5763.0,2789.5,4080.0,3060.5
2023-09-12,5806.0,2790.75,4073.5,3061.0
2023-09-13,5825.0,2810.5,4067.5,3054.5
2023-09-14,5858.5,2837.25,4097.5,3083.0
2023-09-15,5929.5,2848.0,4187.5,3153.5
2023-09-19,5924.5,2832.75,4175.5,3119.0
2023-09-20,5886.0,2806.0,4222.5,3084.5
2023-09-21,5807.0,2785.0,4175.0,3080.5
2023-09-22,5696.5,2744.75,4097.0,3017.5
2023-09-25,5735.0,2773.25,4131.5,3035.5
2023-09-26,5759.5,2752.75,4137.0,3027.0
2023-09-27,5685.5,2713.25,4120.0,3002.5
2023-09-28,5652.5,2706.25,4033.5,3015.75
2023-09-29,5596.5,2714.0,4022.0,2992.75
2023-10-02,5598.0,2708.75,4046.0,2952.25
2023-10-03,5509.0,2626.75,3986.0,2873.5
