Date,TYO,F,GM,HMC,STLA
2013-10-01,24.75,17.19,35.91,38.22,8.06
2013-10-02,24.629,17.21,35.94,38.28,8.06
2013-10-03,24.58,16.95,35.29,38.07,8.06
2013-10-04,24.82,17.09,35.7,38.37,8.35
2013-10-07,24.63,16.81,35.18,37.91,8.6
2013-10-08,24.74,16.5,34.21,37.96,8.6
2013-10-09,24.9,16.62,34.16,39.07,8.48
2013-10-10,24.996,16.93,34.85,40.08,8.65
2013-10-11,24.95,17.11,35.35,40.12,8.65
2013-10-14,25.08,17.18,35.33,40.16,8.65
2013-10-15,25.12,16.97,34.7,39.57,8.65
2013-10-16,24.79,17.29,35.13,39.95,8.65
2013-10-17,24.29,17.46,35.66,40.39,8.3
2013-10-18,24.25,17.53,35.89,40.4,8.3
2013-10-21,24.35,17.5,35.5,40.47,8.16
2013-10-22,23.82,17.6,35.41,40.54,8.51
2013-10-23,23.6848,17.52,35.05,39.29,8.51
2013-10-24,23.78,17.76,35.63,39.78,8.4
2013-10-25,23.7399,17.6,35.59,39.65,8.3
2013-10-28,23.75,17.57,35.8,39.76,7.92
2013-10-29,23.71,17.61,36.06,40.22,7.92
2013-10-30,23.81,17.34,37.23,40.13,7.92
2013-10-31,23.91,17.11,36.95,39.96,7.75
2013-11-01,24.3001,16.89,37.39,40.1,7.6
2013-11-04,24.15,17.0,37.47,40.07,7.75
2013-11-05,24.46,17.09,37.09,39.87,7.56
2013-11-06,24.31,16.91,36.59,39.9,7.56
2013-11-07,24.05,16.55,35.92,39.11,7.56
2013-11-08,24.852,16.85,36.66,39.62,7.56
2013-11-11,24.87,16.89,36.68,39.76,7.56
2013-11-12,24.96,16.72,36.66,40.07,7.56
2013-11-13,24.6999,17.1,38.44,40.78,7.56
2013-11-14,24.33,17.09,38.5,40.93,7.56
2013-11-15,24.35,17.07,38.77,41.17,7.56
2013-11-18,24.13,16.98,38.57,41.23,7.56
2013-11-19,24.366,16.87,38.01,40.97,7.56
2013-11-20,24.74,16.92,37.69,41.19,7.56
2013-11-21,24.74,17.09,38.12,42.43,7.56
2013-11-22,24.519,17.01,37.63,42.7,7.56
2013-11-25,24.41,16.94,37.55,42.61,7.86
2013-11-26,24.2205,16.87,37.67,42.11,7.7
2013-11-27,24.408,17.03,38.85,42.02,7.7
2013-11-29,24.477,17.08,38.73,42.36,7.7
2013-12-02,24.7797,17.06,39.11,41.88,7.7
2013-12-03,24.649,16.56,38.14,41.52,7.5
2013-12-04,24.9,16.62,38.71,41.41,7.72
2013-12-05,25.1001,16.74,39.09,41.08,7.49
2013-12-06,25.068,16.7,40.17,41.94,7.5
2013-12-09,24.9701,16.56,40.9,41.45,7.38
2013-12-10,24.621,16.53,40.4,41.3,7.38
2013-12-11,24.9199,16.41,40.16,40.74,7.43
2013-12-12,25.1002,16.39,40.05,40.59,7.27
2013-12-13,25.05,16.59,40.04,40.35,7.2
2013-12-16,25.1,16.86,41.44,39.97,7.38
2013-12-17,24.8201,16.7,41.53,39.9,7.53
2013-12-18,25.19,15.65,41.27,41.44,7.53
2013-12-19,25.449,15.3,40.3,40.65,7.53
2013-12-20,25.15,15.42,40.99,41.3,7.7
2013-12-23,25.39,15.15,41.29,41.62,7.7
2013-12-24,25.7,15.19,40.88,41.0,7.96
2013-12-26,25.7548,15.33,41.52,41.11,7.96
2013-12-27,25.79,15.3,40.94,41.25,8.12
2013-12-30,25.5748,15.28,40.69,41.22,8.12
2013-12-31,25.911,15.43,40.87,41.35,8.12
2014-01-02,25.6599,15.44,40.95,40.69,9.5
2014-01-03,25.65,15.51,39.57,40.69,9.35
2014-01-06,25.43,15.58,40.4,40.8,9.3
2014-01-07,25.3,15.38,40.2,40.71,9.1
2014-01-08,25.63,15.54,40.42,40.65,8.91
2014-01-09,25.44,15.84,40.49,40.73,9.25
2014-01-10,24.8325,16.07,40.03,40.84,9.18
2014-01-13,24.5699,16.11,39.58,40.22,9.3
2014-01-14,24.82,16.4,40.02,40.09,9.4
2014-01-15,24.89,16.7,39.38,39.93,9.57
2014-01-16,24.71,16.73,39.0,39.93,9.57
2014-01-17,24.55,16.52,38.6,39.76,10.05
2014-01-21,24.54,16.41,38.34,39.83,10.2
2014-01-22,24.77,16.55,38.8,39.72,10.2
2014-01-23,24.322,16.43,38.42,38.94,10.41
2014-01-24,23.99,15.83,36.83,38.0,10.08
2014-01-27,24.2099,15.71,36.76,38.08,10.33
2014-01-28,24.13,15.72,36.81,38.06,10.3
2014-01-29,23.759,15.26,36.35,38.24,10.14
2014-01-30,23.83,15.25,36.84,38.2,10.14
2014-01-31,23.6,14.96,36.08,37.51,10.01
2014-02-03,23.15,14.55,35.25,36.44,9.75
2014-02-04,23.34,14.87,35.82,35.92,9.75
2014-02-05,23.5999,14.73,35.24,35.97,9.74
2014-02-06,23.691,14.85,35.23,35.9,9.9
2014-02-07,23.52,14.97,36.11,36.55,10.04
2014-02-10,23.5306,14.84,34.9,36.48,9.95
2014-02-11,23.7201,14.96,35.25,36.7,9.9
2014-02-12,23.974,15.0,35.56,37.22,9.95
2014-02-13,23.656,15.08,35.2,37.02,9.95
2014-02-14,23.6648,15.24,35.95,36.75,9.95
2014-02-18,23.48,15.39,36.31,37.17,10.26
2014-02-19,23.58,15.25,36.03,36.6,10.26
2014-02-20,23.66,15.27,36.51,36.16,10.5
2014-02-21,23.6099,15.16,36.69,36.14,10.54
2014-02-24,23.644,15.18,36.55,36.12,10.47
2014-02-25,23.3675,15.15,36.1,36.24,10.45
2014-02-26,23.23,15.26,36.83,36.06,10.64
2014-02-27,23.094,15.39,36.77,36.43,10.54
2014-02-28,23.15,15.39,36.2,36.05,10.6
2014-03-03,22.85,15.2,36.21,36.4,10.27
2014-03-04,23.358,15.37,36.93,36.93,10.58
2014-03-05,23.25,15.63,37.52,36.92,11.0
2014-03-06,23.5,15.67,37.54,37.3,11.39
2014-03-07,23.83,15.62,37.69,37.12,11.16
2014-03-10,23.7899,15.51,37.09,36.57,11.15
2014-03-11,23.684,15.3,35.18,36.89,10.91
2014-03-12,23.438,15.4,34.86,36.56,10.8
2014-03-13,23.06,15.18,34.09,35.84,10.99
2014-03-14,23.05,15.08,34.09,35.47,10.7
2014-03-17,23.3,15.28,34.63,35.9,11.22
2014-03-18,23.16,15.49,35.17,35.36,11.22
2014-03-19,23.75,15.48,34.91,35.2,11.22
2014-03-20,23.7799,15.55,35.26,35.0,11.01
2014-03-21,23.56,15.47,35.01,35.01,11.05
2014-03-24,23.56,15.39,35.14,34.4,11.0
2014-03-25,23.617,15.33,34.51,34.65,10.81
2014-03-26,23.3101,15.25,34.22,34.45,10.81
2014-03-27,23.22,15.25,34.51,34.55,11.0
2014-03-28,23.42,15.45,34.73,34.84,11.3
2014-03-31,23.47,15.6,34.42,35.34,11.66
2014-04-01,23.624,16.32,34.34,35.2,12.09
2014-04-02,23.91,16.46,34.88,35.51,11.81
2014-04-03,23.8399,16.39,35.44,35.59,11.89
2014-04-04,23.4308,16.13,34.81,35.24,11.89
2014-04-07,23.2497,15.94,34.11,34.44,11.96
2014-04-08,23.19,16.1,34.53,33.76,12.0
2014-04-09,23.189,15.84,33.62,34.19,12.31
2014-04-10,22.86,15.63,33.3,33.32,12.31
2014-04-11,22.76,15.63,31.93,33.74,12.0
2014-04-14,22.81,15.7,32.55,34.2,12.11
2014-04-15,22.73,15.84,33.36,34.08,11.52
2014-04-16,22.85,16.07,33.97,34.56,11.89
2014-04-17,23.35,16.0,33.98,34.17,12.05
2014-04-21,23.242,15.98,33.98,33.81,12.2
2014-04-22,23.27,16.1,34.23,33.65,12.2
2014-04-23,23.08,16.23,34.39,33.85,12.2
2014-04-24,23.06,16.32,34.17,33.68,12.19
2014-04-25,22.916,15.78,33.72,33.03,11.9
2014-04-28,23.05,15.97,33.76,32.68,11.81
2014-04-29,22.99,16.12,33.99,32.79,12.13
2014-04-30,22.81,16.15,34.48,33.3,12.1
2014-05-01,22.6099,15.91,34.9,33.67,12.01
2014-05-02,22.5,15.9,34.97,33.72,12.14
2014-05-05,22.527,15.74,34.75,33.8,12.02
2014-05-06,22.44,15.56,34.75,33.66,11.55
2014-05-07,22.42,15.46,35.07,33.55,10.56
2014-05-08,22.34,15.81,34.85,33.05,10.23
2014-05-09,22.37,15.77,34.23,32.93,10.23
2014-05-12,22.4935,15.84,34.82,32.88,10.38
2014-05-13,22.27,15.86,35.15,33.77,9.99
2014-05-14,22.039,15.75,34.94,33.48,10.23
2014-05-15,21.76,15.69,34.36,33.06,9.85
2014-05-16,21.85,15.76,34.0,33.35,9.85
2014-05-19,21.9599,15.92,34.25,33.63,10.02
2014-05-20,21.74,15.77,33.07,33.61,10.12
2014-05-21,21.98,15.91,33.46,33.94,10.19
2014-05-22,21.95,15.91,33.42,34.26,9.98
2014-05-23,22.06,16.02,33.63,34.71,10.14
2014-05-27,21.82,16.16,33.94,34.88,10.57
2014-05-28,21.4501,16.31,34.59,34.6,10.55
2014-05-29,21.4601,16.54,34.45,34.87,10.36
2014-05-30,21.55,16.44,34.58,35.18,10.36
2014-06-02,21.86,16.44,34.86,35.27,10.36
2014-06-03,22.2,16.55,35.26,35.18,10.36
2014-06-04,22.24,16.79,36.52,34.9,10.21
2014-06-05,22.1198,16.68,36.27,35.03,10.38
2014-06-06,22.1575,17.08,36.55,35.09,10.6
2014-06-09,22.2,17.0,36.5,35.0,10.7
2014-06-10,22.3346,17.01,36.4,34.85,10.8
2014-06-11,22.36,16.9,36.12,34.87,10.68
2014-06-12,21.98,16.52,35.52,34.7,10.5
2014-06-13,22.24,16.56,35.63,34.68,10.5
2014-06-16,22.07,16.63,36.06,34.67,10.5
2014-06-17,22.38,16.79,36.36,34.74,10.33
2014-06-18,22.02,16.83,36.3,35.0,10.38
2014-06-19,22.37,16.78,36.37,35.65,10.37
2014-06-20,22.19,16.67,36.22,35.63,10.37
2014-06-23,22.1,16.88,36.67,35.17,10.2
2014-06-24,22.0699,16.97,36.58,34.87,10.33
2014-06-25,21.8,17.2,37.09,34.88,10.33
2014-06-26,21.65,17.2,36.9,34.81,10.07
2014-06-27,21.63,17.28,36.62,34.85,10.1
2014-06-30,21.59,17.24,36.3,34.99,9.91
2014-07-01,21.77,17.21,37.59,35.23,10.26
2014-07-02,22.0596,17.22,37.74,35.04,10.16
2014-07-03,22.17,17.32,37.74,35.0,10.5
2014-07-07,22.0384,17.32,37.44,35.17,10.27
2014-07-08,21.7,17.11,37.58,34.99,10.09
2014-07-09,21.7386,17.43,37.97,35.41,10.09
2014-07-10,21.72,17.3,37.75,34.99,10.08
2014-07-11,21.479,17.47,37.95,34.96,10.06
