,TYO,F,GM,HMC,STLA,TOYOF
2013-10-04,24.82,17.09,35.7,38.37,8.35,63.92
2013-10-11,24.95,17.11,35.35,40.12,8.65,65.11
2013-10-18,24.25,17.53,35.89,40.4,8.3,64.78
2013-10-25,23.7399,17.6,35.59,39.65,8.3,64.3725
2013-11-01,24.3001,16.89,37.39,40.1,7.6,64.64
2013-11-08,24.852,16.85,36.66,39.62,7.56,62.9885
2013-11-15,24.35,17.07,38.77,41.17,7.56,63.36
2013-11-22,24.519,17.01,37.63,42.7,7.56,63.2322
2013-11-29,24.477,17.08,38.73,42.36,7.7,61.89
2013-12-06,25.068,16.7,40.17,41.94,7.5,61.58
2013-12-13,25.05,16.59,40.04,40.35,7.2,60.45
2013-12-20,25.15,15.42,40.99,41.3,7.7,59.63
2013-12-27,25.79,15.3,40.94,41.25,8.12,60.55
2014-01-03,25.65,15.51,39.57,40.69,9.35,61.36
2014-01-10,24.8325,16.07,40.03,40.84,9.18,59.41
2014-01-17,24.55,16.52,38.6,39.76,10.05,59.4
2014-01-24,23.99,15.83,36.83,38.0,10.08,59.21
2014-01-31,23.6,14.96,36.08,37.51,10.01,57.15
2014-02-07,23.52,14.97,36.11,36.55,10.04,57.86
2014-02-14,23.6648,15.24,35.95,36.75,9.95,57.86
2014-02-21,23.6099,15.16,36.69,36.14,10.54,57.9
2014-02-28,23.15,15.39,36.2,36.05,10.6,57.3
2014-03-07,23.83,15.62,37.69,37.12,11.16,56.84
2014-03-14,23.05,15.08,34.09,35.47,10.7,54.3625
2014-03-21,23.56,15.47,35.01,35.01,11.05,53.13
2014-03-28,23.42,15.45,34.73,34.84,11.3,56.47
2014-04-04,23.4308,16.13,34.81,35.24,11.89,55.8
2014-04-11,22.76,15.63,31.93,33.74,12.0,52.0
2014-04-17,23.35,16.0,33.98,34.17,12.05,53.49
2014-04-25,22.916,15.78,33.72,33.03,11.9,53.9
2014-05-02,22.5,15.9,34.97,33.72,12.14,54.9559
2014-05-09,22.37,15.77,34.23,32.93,10.23,55.0
2014-05-16,21.85,15.76,34.0,33.35,9.85,54.75
2014-05-23,22.06,16.02,33.63,34.71,10.14,54.8305
2014-05-30,21.55,16.44,34.58,35.18,10.36,56.585
2014-06-06,22.1575,17.08,36.55,35.09,10.6,58.0
2014-06-13,22.24,16.56,35.63,34.68,10.5,57.77
2014-06-20,22.19,16.67,36.22,35.63,10.37,58.59
2014-06-27,21.63,17.28,36.62,34.85,10.1,59.4104
2014-07-03,22.17,17.32,37.74,35.0,10.5,61.05
2014-07-11,21.479,17.47,37.95,34.96,10.06,58.9632
2014-07-18,21.31,17.72,37.41,35.29,10.59,59.779
2014-07-25,21.2001,17.62,35.07,34.99,10.52,60.49
2014-08-01,21.2772,16.81,33.44,34.6,9.6,58.7
2014-08-08,20.9,17.09,33.53,34.2,9.17,58.5
2014-08-15,20.43,17.31,33.84,33.96,9.79,
2014-08-22,20.7,17.17,34.24,34.35,9.62,57.01
2014-08-29,20.37,17.41,34.8,34.05,9.85,57.58
2014-09-05,20.8,17.14,34.58,33.85,9.97,57.8635
2014-09-12,21.5328,16.59,33.27,34.5,10.2,58.165
2014-09-19,21.35,16.65,33.94,34.46,10.03,58.165
2014-09-26,21.0805,16.33,33.17,34.42,10.16,59.22
2014-10-03,20.6884,14.59,33.76,32.48,9.35,57.29
2014-10-10,19.85,13.79,30.29,31.7,8.7,57.47
2014-10-17,19.35,14.02,30.24,31.13,9.1,55.508
2014-10-24,19.56,13.78,30.04,31.07,9.5,56.97
2014-10-31,19.9586,14.09,31.4,32.12,11.46,60.2883
2014-11-07,19.71,14.17,31.59,31.62,10.94,58.8362
2014-11-14,19.6265,15.14,31.79,31.99,12.4,60.07
2014-11-21,19.66,15.43,32.13,31.74,12.26,60.765
2014-11-28,19.1199,15.73,33.43,30.32,12.46,61.6935
2014-12-05,19.5,15.7,33.93,31.14,13.61,64.44
2014-12-12,18.59,14.99,31.57,29.34,11.36,63.05
2014-12-19,18.88,15.03,32.81,30.33,11.65,63.2
2014-12-26,19.1544,15.45,33.73,30.33,11.88,64.1
2015-01-02,18.52,15.36,34.84,29.59,11.69,62.428
2015-01-09,17.8001,15.21,35.59,29.41,11.85,62.83
2015-01-16,17.24,15.02,33.68,30.84,12.1,64.22
2015-01-23,17.23,14.91,33.75,31.17,12.9,64.71
2015-01-30,16.51,14.71,32.62,30.22,13.21,65.765
2015-02-06,17.61,15.86,36.0,32.03,13.6,64.9
2015-02-13,17.935,16.3,37.62,32.87,14.53,65.89
2015-02-20,18.23,16.4,37.65,33.51,15.5,68.0025
2015-02-27,17.7526,16.34,37.31,33.14,15.41,68.05
2015-03-06,18.62,15.93,36.84,33.52,15.22,67.5545
2015-03-13,18.054,16.2,38.05,34.09,16.41,67.8
2015-03-20,17.21,16.48,38.87,34.36,16.38,70.0
2015-03-27,17.29,15.98,37.31,33.46,16.42,72.34
2015-04-02,17.03,16.03,36.5,32.97,16.69,70.64
2015-04-10,17.17,16.03,36.57,34.66,16.48,69.5875
2015-04-17,16.8099,15.76,36.64,35.18,16.2,68.99
2015-04-24,16.87,15.77,35.59,36.36,16.19,70.7613
2015-05-01,17.67,15.81,35.42,34.22,14.65,69.3
2015-05-08,17.921,15.67,35.32,35.37,15.13,70.85
2015-05-15,17.64,15.48,34.91,35.0,15.45,69.0
2015-05-22,17.84,15.27,35.7,34.12,15.94,69.42
2015-05-29,17.5899,15.17,35.97,34.22,16.03,68.468
2015-06-05,18.5856,14.78,35.12,33.83,15.65,66.99
2015-06-12,18.54,15.23,35.71,33.16,15.92,67.61
2015-06-19,17.9,15.11,36.11,32.48,15.19,67.13
2015-06-26,18.76,15.4,34.38,32.88,15.59,67.34
2015-07-02,18.34,14.87,33.23,32.65,14.29,67.43
2015-07-10,18.276,14.48,31.4,31.68,14.47,65.35
2015-07-17,18.0525,14.69,30.65,32.13,15.48,68.26
2015-07-24,17.6643,14.39,31.06,31.09,15.15,66.8
