Date,1925.T,1928.T,2413.T,2502.T,2503.T,2802.T,2914.T,3382.T,3402.T,3407.T,4063.T,4188.T,4452.T,4502.T,4503.T,4507.T,4519.T,4523.T,4528.T,4543.T,4568.T,4578.T,4661.T,4689.T,4901.T,4911.T,5020.T,5108.T,5401.T,5713.T,5802.T,6098.T,6178.T,6273.T,6301.T,6326.T,6367.T,6501.T,6502.T,6503.T,6586.T,6594.T,6645.T,6702.T,6752.T,6758.T,6861.T,6869.T,6902.T,6920.T,6954.T,6971.T,6981.T,7011.T,7201.T,7203.T,7267.T,7269.T,7270.T,7309.T,7733.T,7741.T,7751.T,7832.T,7974.T,8001.T,8002.T,8031.T,8035.T,8053.T,8058.T,8113.T,8267.T,8306.T,8308.T,8309.T,8316.T,8411.T,8591.T,8604.T,8630.T,8697.T,8725.T,8750.T,8766.T,8801.T,8802.T,8830.T,9020.T,9021.T,9022.T,9101.T,9202.T,9432.T,9433.T,9434.T,9735.T,9843.T,9983.T,9984.T,^N225
2013-10-21,1885.0,1332.0,665.25,2790.0,1493.0,1376.0,3480.0,3720.0,623.0,729.0,5890.0,469.0,3115.0,4695.0,1050.0,2128.0,714.3333129882812,3945.0,1230.0,1240.0,607.3333129882812,2694.0,4010.0,503.0,2364.0,1773.0,491.0,3485.0,3400.0,2722.0,1453.0,,,23510.0,2402.0,1483.0,5810.0,3100.0,4290.0,1041.0,2730.0,2227.5,3665.0,4140.0,949.0,1921.0,9250.0,3335.0,1205.0,246.25,16800.0,5110.0,846.6666870117188,6210.0,1015.0,1260.0,1316.6666259765625,2470.0,2826.0,8780.0,785.0,2325.0,3185.0,1908.0,1166.0,1191.0,766.0,1427.0,5600.0,1320.0,2000.0,2120.0,1340.0,635.0,529.0,5020.0,4890.0,2090.0,1655.0,754.0,2540.0,1142.0,2568.0,1360.0,1060.0,3425.0,2927.0,4905.0,8650.0,4410.0,2626.0,1120.0,2200.0,52.70000076293945,1766.6666259765625,,6170.0,4500.0,11400.0,3740.0,14693.5703125
2013-10-22,1907.0,1355.0,664.5,2760.0,1494.0,1380.0,3455.0,3685.0,623.0,749.0,5910.0,459.0,3115.0,4700.0,1036.0,2129.0,729.3333129882812,3905.0,1216.0,1225.0,602.6666870117188,2689.0,3955.0,519.0,2359.0,1767.0,493.0,3500.0,3430.0,2740.0,1471.0,,,23160.0,2400.0,1486.0,5790.0,3095.0,4330.0,1048.0,2720.0,2190.0,3650.0,4170.0,941.0,1935.0,9162.5,3315.0,1207.5,247.75,16630.0,5150.0,871.111083984375,6270.0,1016.0,1274.0,1320.0,2453.0,2759.0,8780.0,782.5,2324.0,3205.0,1918.0,1157.0,1193.0,779.0,1432.0,5560.0,1317.0,2011.0,2146.666748046875,1333.0,639.0,534.0,5060.0,4875.0,2100.0,1711.0,751.0,2528.0,1152.5,2574.0,1381.0,1053.3333740234375,3400.0,2931.0,4905.0,8690.0,4385.0,2618.0,1096.6666259765625,2210.0,53.20000076293945,1766.6666259765625,,6140.0,4530.0,11483.3330078125,3810.0,14713.25
2013-10-23,1897.0,1342.0,657.75,2708.0,1479.0,1366.0,3400.0,3635.0,615.0,734.0,5780.0,454.0,3095.0,4655.0,1058.0,2113.0,723.0,3880.0,1222.0,1177.5,595.0,2669.0,3852.5,506.0,2308.0,1750.0,490.0,3420.0,3410.0,2760.0,1467.0,,,22540.0,2371.0,1458.0,5620.0,3040.0,4220.0,1032.0,2695.0,2287.5,3645.0,4090.0,922.0,1896.0,8937.5,3185.0,1178.75,250.25,16250.0,5000.0,842.2222290039062,6200.0,997.0,1264.0,1283.3333740234375,2431.0,2722.0,8540.0,762.5,2290.0,3135.0,1878.0,1149.0,1174.0,769.0,1415.0,5560.0,1301.0,1988.0,2130.0,1317.0,629.0,518.0,4980.0,4780.0,2070.0,1689.0,738.0,2463.0,1109.5,2525.0,1358.0,1036.6666259765625,3325.0,2861.0,4835.0,8510.0,4330.0,2560.0,1096.6666259765625,2170.0,52.29999923706055,1713.3333740234375,,6020.0,4595.0,11166.6669921875,3800.0,14426.0498046875
2013-10-24,1927.0,1364.0,666.25,2708.0,1475.0,1373.0,3400.0,3660.0,615.0,734.0,5740.0,462.0,3160.0,4695.0,1086.0,2091.0,725.6666870117188,3870.0,1242.0,1176.25,600.0,2693.0,3920.0,514.0,2329.0,1758.0,498.0,3445.0,3400.0,2734.0,1474.0,,,22820.0,2322.0,1494.0,5610.0,3295.0,4300.0,1041.0,2725.0,2287.5,3690.0,4100.0,936.0,1872.0,9000.0,3210.0,1196.25,254.5,16340.0,4980.0,843.3333129882812,6310.0,1006.0,1266.0,1291.6666259765625,2429.0,2741.0,8500.0,773.75,2317.0,3130.0,1891.0,1157.0,1173.0,769.0,1411.0,5450.0,1308.0,1987.0,2140.0,1333.0,627.0,516.0,5060.0,4790.0,2070.0,1679.0,739.0,2464.0,1079.5,2522.0,1365.0,1036.6666259765625,3330.0,2842.0,4770.0,8670.0,4350.0,2566.0,1086.6666259765625,2190.0,52.5,1746.6666259765625,,6010.0,4545.0,11100.0,3885.0,14486.41015625
2013-10-25,1877.0,1335.0,659.0,2640.0,1430.0,1354.0,3330.0,3570.0,605.0,716.0,5480.0,448.0,3090.0,4600.0,1062.0,2059.0,708.6666870117188,3820.0,1226.0,1148.75,588.0,2688.0,3805.0,501.0,2250.0,1725.0,490.0,3365.0,3330.0,2714.0,1437.0,,,22030.0,2298.0,1443.0,5440.0,3250.0,4250.0,1025.0,2620.0,2277.5,3570.0,4060.0,922.0,1851.0,8750.0,3150.0,1160.0,252.5,15910.0,4805.0,862.2222290039062,6240.0,995.0,1240.0,1276.6666259765625,2378.0,2680.0,8310.0,770.0,2280.0,3080.0,1839.0,1128.0,1134.0,759.0,1398.0,5310.0,1280.0,1957.0,2110.0,1325.0,615.0,507.0,4900.0,4670.0,2040.0,1642.0,726.0,2446.0,1078.0,2458.0,1357.0,1023.3333129882812,3240.0,2803.0,4645.0,8530.0,4275.0,2464.0,1066.6666259765625,2150.0,50.5,1653.3333740234375,,5790.0,4470.0,10716.6669921875,3700.0,14088.1904296875
2013-10-28,1931.0,1370.0,660.0,2677.0,1443.0,1376.0,3395.0,3615.0,618.0,722.0,5520.0,461.0,3145.0,4650.0,1078.0,2090.0,727.6666870117188,3845.0,1246.0,1176.25,593.6666870117188,2720.0,3815.0,490.0,2298.0,1731.0,490.0,3405.0,3380.0,2742.0,1485.0,,,22530.0,2358.0,1466.0,5640.0,3365.0,4300.0,1063.0,2725.0,2315.0,3610.0,4170.0,946.0,1910.0,8962.5,3240.0,1185.0,269.75,16450.0,4940.0,877.7777709960938,6320.0,1009.0,1262.0,1301.6666259765625,2412.0,2725.0,8490.0,782.5,2318.0,3150.0,1863.0,1151.0,1174.0,768.0,1418.0,5430.0,1306.0,1989.0,2143.333251953125,1326.0,629.0,519.0,4930.0,4725.0,2090.0,1673.0,742.0,2497.0,1120.0,2519.0,1376.0,1051.6666259765625,3285.0,2835.0,4765.0,8760.0,4305.0,2540.0,1083.3333740234375,2180.0,51.400001525878906,1703.3333740234375,,5920.0,4550.0,11066.6669921875,3740.0,14396.0400390625
2013-10-29,1932.0,1357.0,681.25,2688.0,1439.0,1381.0,3425.0,3620.0,615.0,721.0,5480.0,454.0,3165.0,4635.0,1086.0,2153.0,729.3333129882812,3850.0,1388.0,1178.75,592.3333129882812,2722.0,3890.0,475.0,2289.0,1718.0,489.0,3360.0,3400.0,2760.0,1485.0,,,22540.0,2168.0,1442.0,5640.0,3345.0,4330.0,1049.0,2690.0,2292.5,3610.0,4280.0,947.0,1892.0,9425.0,3235.0,1178.75,257.5,16160.0,4980.0,863.3333129882812,6200.0,1001.0,1254.0,1305.0,2439.0,2667.0,8460.0,785.0,2281.0,3120.0,1876.0,1139.0,1170.0,769.0,1408.0,5390.0,1301.0,1982.0,2110.0,1333.0,622.0,513.0,4880.0,4725.0,2070.0,1652.0,737.0,2487.0,1112.5,2507.0,1382.0,1050.0,3265.0,2823.0,4705.0,8790.0,4325.0,2542.0,1070.0,2170.0,51.599998474121094,1743.3333740234375,,5890.0,4515.0,11000.0,3685.0,14325.98046875
2013-10-30,1957.0,1403.0,676.75,2708.0,1435.0,1385.0,3550.0,3680.0,620.0,728.0,5600.0,463.0,3155.0,4670.0,1094.0,2171.0,735.3333129882812,3855.0,1426.0,1191.25,593.3333129882812,2759.0,3917.5,470.0,2319.0,1724.0,492.0,3360.0,3310.0,2764.0,1496.0,,,22990.0,2152.0,1455.0,5720.0,3350.0,4390.0,1064.0,2675.0,2275.0,3830.0,4280.0,949.0,1910.0,9912.5,3240.0,1203.75,249.75,15780.0,5110.0,875.5555419921875,6270.0,1015.0,1274.0,1321.6666259765625,2462.0,2715.0,8470.0,802.5,2328.0,3120.0,1880.0,1122.0,1182.0,777.0,1419.0,5480.0,1306.0,1994.0,2103.333251953125,1346.0,629.0,515.0,4980.0,4790.0,2090.0,1717.0,747.0,2544.0,1132.5,2557.0,1407.0,1068.3333740234375,3305.0,2836.0,4740.0,8620.0,4365.0,2574.0,1086.6666259765625,2150.0,51.29999923706055,1776.6666259765625,,5980.0,4530.0,11300.0,3760.0,14502.349609375
2013-10-31,1961.0,1403.0,671.25,2650.0,1432.0,1373.0,3550.0,3620.0,612.0,745.0,5530.0,458.0,3265.0,4665.0,1092.0,2166.0,768.0,3850.0,1480.0,1185.0,606.0,2790.0,3930.0,457.0,2393.0,1675.0,485.0,3355.0,3230.0,2716.0,1468.0,,,22780.0,2140.0,1448.0,5630.0,3425.0,4160.0,1075.0,2475.0,2382.5,3740.0,4210.0,985.0,1877.0,10500.0,3235.0,1176.25,252.75,15720.0,5080.0,874.4444580078125,6220.0,982.0,1272.0,1305.0,2461.0,2671.0,8600.0,785.0,2353.0,3090.0,1850.0,1102.0,1178.0,767.0,1400.0,5370.0,1275.0,1982.0,2096.666748046875,1337.0,620.0,510.0,4820.0,4715.0,2050.0,1686.0,723.0,2528.0,1133.5,2525.0,1396.0,1068.3333740234375,3235.0,2797.0,4625.0,8510.0,4395.0,2540.0,996.6666870117188,2050.0,50.900001525878906,1770.0,,5900.0,4605.0,10950.0,3650.0,14327.9404296875
2013-11-01,1917.0,1371.0,644.5,2668.0,1425.0,1355.0,3575.0,3590.0,608.0,755.0,5500.0,444.0,3215.0,4680.0,1104.0,2118.0,762.0,3890.0,1434.0,1160.0,597.6666870117188,2744.0,3865.0,435.0,2399.0,1670.0,492.0,3305.0,3190.0,2688.0,1454.0,,,22870.0,2109.0,1436.0,5560.0,3415.0,4100.0,1060.0,2300.0,2352.5,3725.0,4160.0,1046.0,1668.0,10387.5,3110.0,1177.5,233.5,15270.0,4910.0,865.5555419921875,6330.0,961.0,1266.0,1310.0,2480.0,2649.0,8390.0,767.5,2446.0,3080.0,1817.0,1106.0,1158.0,760.0,1390.0,5320.0,1242.0,1977.0,2010.0,1324.0,617.0,510.0,4720.0,4685.0,2050.0,1670.0,711.0,2476.0,1113.0,2484.0,1371.0,1050.0,3210.0,2782.0,4610.0,8340.0,4360.0,2498.0,953.3333129882812,2060.0,50.29999923706055,1770.0,,5860.0,4500.0,10883.3330078125,3775.0,14201.5703125
