Date,1925.T,1928.T,2413.T,2502.T,2503.T,2802.T,2914.T,3382.T,3402.T,3407.T,4063.T,4188.T,4452.T,4502.T,4503.T,4507.T,4519.T,4523.T,4528.T,4543.T,4568.T,4578.T,4661.T,4689.T,4901.T,4911.T,5020.T,5108.T,5401.T,5713.T,5802.T,6098.T,6178.T,6273.T,6301.T,6326.T,6367.T,6501.T,6502.T,6503.T,6586.T,6594.T,6645.T,6702.T,6752.T,6758.T,6861.T,6869.T,6902.T,6920.T,6954.T,6971.T,6981.T,7011.T,7201.T,7203.T,7267.T,7269.T,7270.T,7309.T,7733.T,7741.T,7751.T,7832.T,7974.T,8001.T,8002.T,8031.T,8035.T,8053.T,8058.T,8113.T,8267.T,8306.T,8308.T,8309.T,8316.T,8411.T,8591.T,8604.T,8630.T,8697.T,8725.T,8750.T,8766.T,8801.T,8802.T,8830.T,9020.T,9021.T,9022.T,9101.T,9202.T,9432.T,9433.T,9434.T,9735.T,9843.T,9983.T,9984.T,^N225
2013-11-01,1990.0,1413.0,668.25,2804.0,1578.0,1460.0,3460.0,3770.0,724.0,808.0,5920.0,476.0,3365.0,4975.0,1214.0,2252.0,815.0,4000.0,1552.0,1337.5,626.6666870117188,2992.0,3772.5,494.0,2797.0,1752.0,533.0,3750.0,3320.0,2726.0,1597.0,,,24660.0,2129.0,1751.0,6500.0,3775.0,4420.0,1183.0,2555.0,2472.5,4215.0,4770.0,1175.0,1867.0,10287.5,3330.0,1282.5,239.75,17240.0,5420.0,978.888916015625,6570.0,936.0,1276.0,1443.3333740234375,2630.0,2892.0,9100.0,861.25,2771.0,3410.0,2081.0,1313.0,1292.0,743.0,1419.0,5550.0,1267.0,2015.0,2160.0,1378.0,659.0,508.0,5030.0,5070.0,2150.0,1865.0,811.0,2839.0,1367.5,2757.0,1605.0,1133.3333740234375,3475.0,2844.0,4855.0,8390.0,4480.0,2464.0,1056.6666259765625,2070.0,51.400001525878906,2143.333251953125,,6320.0,4745.0,12933.3330078125,4145.0,15661.8701171875
2013-12-01,2035.0,1470.0,658.75,2964.0,1513.0,1522.0,3420.0,4180.0,728.0,824.0,6140.0,486.0,3310.0,4825.0,1246.0,2280.0,775.0,4075.0,1842.0,1267.5,641.0,3040.0,3792.5,585.0,2981.0,1691.0,541.0,3980.0,3520.0,2754.0,1754.0,,,26500.0,2137.0,1739.0,6550.0,3980.0,4420.0,1320.0,2760.0,2575.0,4645.0,5440.0,1224.0,1826.0,11250.0,3105.0,1387.5,254.5,19250.0,5250.0,1037.77783203125,6510.0,884.0,1284.0,1443.3333740234375,2828.0,3015.0,9030.0,832.5,2922.0,3330.0,2334.0,1401.0,1299.0,756.0,1465.0,5760.0,1321.0,2017.0,2000.0,1425.0,694.0,536.0,5540.0,5420.0,2280.0,1847.0,809.0,2924.0,1494.5,2822.0,1757.0,1171.6666259765625,3785.0,3145.0,5230.0,8380.0,4560.0,2476.0,1120.0,2100.0,56.599998474121094,2156.666748046875,,6340.0,4985.0,14466.6669921875,4600.0,16291.3095703125
2014-01-01,1964.0,1434.0,756.25,2813.0,1406.0,1454.0,3197.0,4102.0,677.0,785.0,5763.0,441.0,3275.0,4793.0,1279.5999755859375,2119.0,781.3333129882812,3943.0,1786.0,1208.75,574.3333129882812,3146.0,3898.75,584.0,3027.0,1637.0,497.0,3734.0,3150.0,2690.0,1627.0,,,26025.0,2148.0,1598.0,5956.0,3960.0,4320.0,1178.0,2695.0,2881.25,4090.0,5780.0,1184.0,1626.0,10627.5,2845.0,1334.75,274.75,16770.0,4651.0,1067.111083984375,6700.0,885.0,1184.4000244140625,1297.6666259765625,2692.0,2847.0,9130.0,762.5,2843.0,3006.0,2330.0,1215.0,1265.0,723.0,1385.0,5317.0,1290.0,1903.0,1873.3333740234375,1289.0,623.0,546.0,4950.0,4824.0,2190.0,1590.0,725.0,2711.0,1261.0,2412.0,1559.0,1011.3333129882812,3289.0,2545.0,4592.0,7632.0,4226.0,2264.0,1070.0,2180.0,55.61000061035156,1901.6666259765625,,5830.0,4985.0,12703.3330078125,3781.5,14914.5302734375
2014-02-01,1846.0,1274.0,846.25,2852.0,1385.0,1577.0,3232.0,3813.0,701.0,723.0,5758.0,459.0,3495.0,4872.0,1318.800048828125,2200.0,866.0,3970.0,2014.0,1083.75,584.0,3123.0,3817.5,645.0,2924.0,1802.0,527.0,3667.0,2970.0,2660.0,1556.0,,,25815.0,2131.0,1423.0,5837.0,4015.0,4400.0,1205.0,2830.0,3122.5,4275.0,6340.0,1276.0,1780.0,10917.5,3035.0,1360.0,273.0,17655.0,4591.0,1076.77783203125,6250.0,911.0,1167.800048828125,1215.6666259765625,2731.0,2753.0,9210.0,882.5,3016.0,3162.0,2277.0,1255.5,1264.0,713.0,1564.0,5842.0,1342.0,1947.0,1923.3333740234375,1244.0,587.0,530.0,4770.0,4540.0,2090.0,1500.0,687.0,2569.0,1207.0,2408.0,1484.0,1004.0,3027.0,2403.0,4093.0,7942.0,4170.0,2367.0,1083.3333740234375,2270.0,57.0099983215332,2067.0,,5737.0,4600.0,11683.3330078125,3834.0,14841.0703125
2014-03-01,1751.0,1281.0,847.0,2889.0,1430.0,1475.0,3240.0,3944.0,682.0,702.0,5898.0,429.0,3657.0,4892.0,1224.0,1913.0,878.3333129882812,4018.0,1788.0,1126.5,579.3333129882812,3087.0,3925.0,506.0,2771.0,1816.0,497.0,3660.0,2820.0,2592.0,1536.0,,,27225.0,2138.0,1367.0,5782.0,3810.0,4370.0,1162.0,2835.0,3139.5,4260.0,6240.0,1173.0,1972.0,10642.5,3290.0,1237.0,290.5,18205.0,4653.0,1081.6666259765625,5970.0,920.0,1165.199951171875,1211.3333740234375,2694.0,2792.0,10370.0,822.5,3213.0,3191.0,2443.0,1226.0,1206.0,693.0,1459.0,6325.0,1313.0,1916.0,1837.6666259765625,1163.0,567.0,499.0,4660.0,4409.0,2040.0,1453.0,662.0,2652.0,1259.0,2364.0,1500.0,1032.6666259765625,3149.0,2446.0,4042.0,7606.0,4214.0,2412.0,1000.0,2230.0,56.189998626708984,1992.0,,5946.0,4475.0,12478.3330078125,3900.0,14827.830078125
2014-04-01,1723.0,1227.0,701.0,2818.0,1415.0,1502.0,3356.0,4031.0,667.0,695.0,5998.0,409.0,3847.0,4588.0,1137.0,1790.0,859.0,3943.0,1618.0,1014.5,571.0,2943.0,3826.25,444.0,2640.0,1824.0,530.0,3660.0,2680.0,3082.0,1411.0,,,24275.0,2252.0,1314.0,5901.0,3635.0,4000.0,1163.0,2710.0,2908.0,3610.0,6000.0,1119.0,1792.0,9846.25,3235.0,1163.0,254.25,18400.0,4807.0,944.4444580078125,5380.0,877.0,1103.199951171875,1126.6666259765625,2635.0,2685.0,10200.0,780.0,3014.0,3215.0,2204.0,1074.0,1144.0,682.0,1449.0,5803.0,1327.0,1828.0,1846.6666259765625,1181.0,542.0,522.0,4210.0,4033.0,2000.0,1477.0,588.0,2549.0,1009.0,2290.0,1414.0,1003.6666870117188,3021.0,2314.0,3960.0,7453.0,4143.0,2508.0,923.3333129882812,2230.0,56.61000061035156,1814.0,,5883.0,4685.0,10590.0,3795.0,14304.1103515625
2014-05-01,1905.0,1339.0,791.0,2869.0,1439.0,1590.0,3444.0,4068.0,648.0,760.0,6049.0,421.0,4023.0,4607.0,1304.0,2039.0,907.3333129882812,4165.0,1560.0,1079.0,574.6666870117188,2873.0,4237.5,469.0,2628.0,1711.0,530.0,3676.0,2870.0,3078.0,1368.0,,,26600.0,2217.0,1390.0,6065.0,3420.0,4170.0,1181.0,2775.0,2959.5,3820.0,6890.0,1093.0,1627.0,9886.25,3570.0,1165.75,252.25,17320.0,4527.0,958.111083984375,5930.0,919.0,1152.199951171875,1187.6666259765625,3025.0,2695.0,10500.0,818.75,3151.0,3338.0,2218.0,1177.0,1203.0,694.0,1542.0,6113.0,1332.0,2009.0,2054.666748046875,1227.0,573.0,532.0,4110.0,4105.0,1980.0,1614.0,669.0,2828.0,1216.5,2410.0,1508.0,1072.0,3221.0,2471.0,4369.0,7765.0,4327.0,2696.0,1000.0,2220.0,60.41999816894531,2017.6666259765625,,6196.0,4995.0,11196.6669921875,3672.5,14632.3798828125
2014-06-01,2100.0,1389.0,806.0,3180.0,1463.0,1588.0,3693.0,4268.0,666.0,775.0,6158.0,449.0,3987.0,4699.0,1331.0,2114.0,951.6666870117188,4244.0,1784.0,1132.5,630.0,3140.0,4338.75,468.0,2825.0,1847.0,542.0,3545.0,3240.0,3290.0,1425.0,,,27110.0,2352.0,1436.0,6392.0,3710.0,4730.0,1250.0,3130.0,3108.0,4270.0,7590.0,1234.0,1682.0,11048.75,3805.0,1208.75,255.5,17470.0,4808.0,1053.4444580078125,6320.0,961.0,1216.800048828125,1179.0,3173.0,2805.0,11240.0,872.5,3366.0,3296.0,2372.0,1212.5,1301.0,741.0,1624.0,6848.0,1368.0,2107.0,2012.3333740234375,1246.0,621.0,590.0,4630.0,4244.0,2080.0,1679.0,717.0,2728.0,1247.5,2447.0,1509.0,1110.6666259765625,3416.0,2501.0,4347.0,7979.0,4460.0,2890.0,973.3333129882812,2390.0,63.18000030517578,2059.666748046875,,6190.0,5540.0,11110.0,3771.5,15162.099609375
2014-07-01,2111.0,1362.5,837.0,3135.0,1452.5,1594.5,3652.0,4330.5,702.5,822.0,6580.0,454.1000061035156,4247.0,4727.0,1415.0,2242.0,1153.3333740234375,4399.0,1762.0,1181.0,628.0,3296.5,4850.0,473.0,2968.5,2047.0,534.5,3742.0,3141.0,3461.0,1527.5,,,28805.0,2309.0,1377.5,7180.0,4043.5,4620.0,1376.0,3095.0,3388.5,4635.0,8010.0,1257.5,1772.0,11311.25,4040.0,1197.0,264.5,17990.0,5047.0,1102.4444580078125,6781.0,1022.0,1227.4000244140625,1218.0,3464.0,2966.0,12100.0,937.5,3371.0,3392.0,2631.0,1152.5,1327.5,731.2999877929688,1666.0,6740.0,1370.5,2186.0,2114.666748046875,1163.0,615.5999755859375,578.5999755859375,4521.0,4260.0,2015.0,1693.5,660.2999877929688,2639.0,1193.0,2379.5,1473.0,1090.6666259765625,3444.5,2547.5,4302.5,8322.0,4698.0,2950.0,990.0,2565.0,68.5999984741211,1999.0,,6338.0,5820.0,11468.3330078125,3786.0,15620.76953125
2014-08-01,1967.5,1308.0,909.5,3281.0,1394.5,1691.5,3564.0,4172.5,709.9000244140625,834.4000244140625,6456.0,518.9000244140625,4485.0,4750.0,1498.0,2450.0,1098.3333740234375,4345.5,1856.0,1309.0,612.6666870117188,3782.0,5061.25,419.0,3135.5,1920.0,534.7999877929688,3569.0,2944.0,3157.0,1523.0,,,27195.0,2355.0,1486.0,7170.0,3932.5,4586.0,1302.0,2905.0,3316.5,4505.0,7137.0,1271.0,1990.0,11131.25,4025.0,1128.25,310.75,17400.0,4864.5,1103.77783203125,6403.0,999.0,1185.5999755859375,1171.0,3381.0,2955.5,12410.0,928.75,3362.5,3399.0,2906.0,1153.0,1322.5,751.0,1696.0,7131.0,1343.0,2151.5,2277.0,1124.0,598.2000122070312,564.2000122070312,4269.0,4200.5,1979.0,1570.0,667.4000244140625,2513.0,1234.0,2346.5,1490.5,1057.1666259765625,3315.0,2401.5,4029.0,8083.0,4920.5,2916.0,1020.0,2529.0,69.80000305175781,1999.6666259765625,,6359.0,6240.0,10850.0,3753.0,15424.58984375
