Date,1925.T,1928.T,2413.T,2502.T,2503.T,2802.T,2914.T,3382.T,3402.T,3407.T,4063.T,4188.T,4452.T,4502.T,4503.T,4507.T,4519.T,4523.T,4528.T,4543.T,4568.T,4578.T,4661.T,4689.T,4901.T,4911.T,5020.T,5108.T,5401.T,5713.T,5802.T,6098.T,6178.T,6273.T,6301.T,6326.T,6367.T,6501.T,6502.T,6503.T,6586.T,6594.T,6645.T,6702.T,6752.T,6758.T,6861.T,6869.T,6902.T,6920.T,6954.T,6971.T,6981.T,7011.T,7201.T,7203.T,7267.T,7269.T,7270.T,7309.T,7733.T,7741.T,7751.T,7832.T,7974.T,8001.T,8002.T,8031.T,8035.T,8053.T,8058.T,8113.T,8267.T,8306.T,8308.T,8309.T,8316.T,8411.T,8591.T,8604.T,8630.T,8697.T,8725.T,8750.T,8766.T,8801.T,8802.T,8830.T,9020.T,9021.T,9022.T,9101.T,9202.T,9432.T,9433.T,9434.T,9735.T,9843.T,9983.T,9984.T,^N225
2013-10-21,1877.0,1335.0,659.0,2640.0,1430.0,1354.0,3330.0,3570.0,605.0,716.0,5480.0,448.0,3090.0,4600.0,1062.0,2059.0,708.6666870117188,3820.0,1226.0,1148.75,588.0,2688.0,3805.0,501.0,2250.0,1725.0,490.0,3365.0,3330.0,2714.0,1437.0,,,22030.0,2298.0,1443.0,5440.0,3250.0,4250.0,1025.0,2620.0,2277.5,3570.0,4060.0,922.0,1851.0,8750.0,3150.0,1160.0,252.5,15910.0,4805.0,862.2222290039062,6240.0,995.0,1240.0,1276.6666259765625,2378.0,2680.0,8310.0,770.0,2280.0,3080.0,1839.0,1128.0,1134.0,759.0,1398.0,5310.0,1280.0,1957.0,2110.0,1325.0,615.0,507.0,4900.0,4670.0,2040.0,1642.0,726.0,2446.0,1078.0,2458.0,1357.0,1023.3333129882812,3240.0,2803.0,4645.0,8530.0,4275.0,2464.0,1066.6666259765625,2150.0,50.5,1653.3333740234375,,5790.0,4470.0,10716.6669921875,3700.0,14088.1904296875
2013-10-28,1917.0,1371.0,644.5,2668.0,1425.0,1355.0,3575.0,3590.0,608.0,755.0,5500.0,444.0,3215.0,4680.0,1104.0,2118.0,762.0,3890.0,1434.0,1160.0,597.6666870117188,2744.0,3865.0,435.0,2399.0,1670.0,492.0,3305.0,3190.0,2688.0,1454.0,,,22870.0,2109.0,1436.0,5560.0,3415.0,4100.0,1060.0,2300.0,2352.5,3725.0,4160.0,1046.0,1668.0,10387.5,3110.0,1177.5,233.5,15270.0,4910.0,865.5555419921875,6330.0,961.0,1266.0,1310.0,2480.0,2649.0,8390.0,767.5,2446.0,3080.0,1817.0,1106.0,1158.0,760.0,1390.0,5320.0,1242.0,1977.0,2010.0,1324.0,617.0,510.0,4720.0,4685.0,2050.0,1670.0,711.0,2476.0,1113.0,2484.0,1371.0,1050.0,3210.0,2782.0,4610.0,8340.0,4360.0,2498.0,953.3333129882812,2060.0,50.29999923706055,1770.0,,5860.0,4500.0,10883.3330078125,3775.0,14201.5703125
2013-11-04,1864.0,1344.0,624.0,2698.0,1446.0,1396.0,3460.0,3525.0,654.0,754.0,5590.0,442.0,3165.0,4685.0,1150.0,2174.0,749.0,3905.0,1554.0,1201.25,621.6666870117188,2741.0,3817.5,467.0,2402.0,1661.0,506.0,3430.0,3170.0,2650.0,1427.0,,,22730.0,2090.0,1520.0,5800.0,3395.0,4040.0,1085.0,2472.5,2282.5,3710.0,4180.0,994.0,1649.0,9800.0,3150.0,1166.25,233.25,15390.0,4870.0,866.6666870117188,6160.0,883.0,1240.0,1290.0,2349.0,2603.0,8420.0,767.5,2547.0,3085.0,1973.0,1215.0,1221.0,747.0,1351.0,5310.0,1237.0,1965.0,1990.0,1294.0,608.0,501.0,4690.0,4675.0,2050.0,1636.0,713.0,2454.0,1115.5,2454.0,1354.0,1035.0,3195.0,2741.0,4525.0,8250.0,4350.0,2430.0,993.3333129882812,2120.0,51.20000076293945,1826.6666259765625,,5950.0,4485.0,10200.0,3640.0,14086.7998046875
2013-11-11,1943.0,1384.0,597.5,2773.0,1535.0,1459.0,3675.0,3750.0,665.0,786.0,5940.0,470.0,3410.0,4800.0,1226.0,2292.0,796.0,3985.0,1560.0,1307.5,638.3333129882812,2756.0,3797.5,469.0,2550.0,1767.0,521.0,3595.0,3320.0,2776.0,1553.0,,,23090.0,2175.0,1672.0,6210.0,3505.0,4180.0,1132.0,2605.0,2317.5,3980.0,4750.0,1060.0,1846.0,10000.0,3320.0,1218.75,241.5,16730.0,5240.0,896.6666870117188,6300.0,924.0,1274.0,1363.3333740234375,2459.0,2800.0,9010.0,793.75,2610.0,3230.0,2058.0,1307.0,1266.0,744.0,1408.0,5580.0,1289.0,2010.0,2086.666748046875,1345.0,658.0,524.0,5030.0,5080.0,2180.0,1751.0,790.0,2671.0,1337.0,2665.0,1542.0,1126.6666259765625,3495.0,2917.0,4980.0,8620.0,4485.0,2554.0,1020.0,2140.0,52.70000076293945,2066.666748046875,,6260.0,4495.0,11866.6669921875,3870.0,15165.919921875
2013-11-18,1960.0,1391.0,647.75,2755.0,1570.0,1463.0,3625.0,3740.0,723.0,801.0,5900.0,469.0,3390.0,4860.0,1190.0,2334.0,806.3333129882812,3945.0,1556.0,1335.0,619.6666870117188,2776.0,3772.5,496.0,2610.0,1742.0,523.0,3680.0,3370.0,2774.0,1551.0,,,24010.0,2152.0,1687.0,6480.0,3620.0,4210.0,1186.0,2575.0,2410.0,4190.0,4790.0,1095.0,1875.0,10125.0,3370.0,1225.0,247.25,16930.0,5260.0,946.6666870117188,6340.0,928.0,1268.0,1431.6666259765625,2481.0,2807.0,9020.0,842.5,2635.0,3285.0,2101.0,1354.0,1296.0,747.0,1410.0,5390.0,1295.0,2016.0,2166.666748046875,1349.0,656.0,521.0,4930.0,5170.0,2150.0,1844.0,815.0,2847.0,1421.0,2774.0,1573.0,1131.6666259765625,3400.0,2849.0,4840.0,8420.0,4490.0,2510.0,1036.6666259765625,2100.0,51.5,2136.666748046875,,6330.0,4555.0,12266.6669921875,4075.0,15381.7197265625
2013-11-25,1990.0,1413.0,668.25,2804.0,1578.0,1460.0,3460.0,3770.0,724.0,808.0,5920.0,476.0,3365.0,4975.0,1214.0,2252.0,815.0,4000.0,1552.0,1337.5,626.6666870117188,2992.0,3772.5,494.0,2797.0,1752.0,533.0,3750.0,3320.0,2726.0,1597.0,,,24660.0,2129.0,1751.0,6500.0,3775.0,4420.0,1183.0,2555.0,2472.5,4215.0,4770.0,1175.0,1867.0,10287.5,3330.0,1282.5,239.75,17240.0,5420.0,978.888916015625,6570.0,936.0,1276.0,1443.3333740234375,2630.0,2892.0,9100.0,861.25,2771.0,3410.0,2081.0,1313.0,1292.0,743.0,1419.0,5550.0,1267.0,2015.0,2160.0,1378.0,659.0,508.0,5030.0,5070.0,2150.0,1865.0,811.0,2839.0,1367.5,2757.0,1605.0,1133.3333740234375,3475.0,2844.0,4855.0,8390.0,4480.0,2464.0,1056.6666259765625,2070.0,51.400001525878906,2143.333251953125,,6320.0,4745.0,12933.3330078125,4145.0,15661.8701171875
2013-12-02,1936.0,1382.0,650.75,2826.0,1546.0,1409.0,3415.0,3740.0,715.0,792.0,5750.0,477.0,3285.0,5070.0,1196.0,2241.0,795.6666870117188,3985.0,1648.0,1285.0,609.3333129882812,2937.0,3735.0,498.0,2858.0,1706.0,517.0,3690.0,3280.0,2572.0,1574.0,,,24200.0,2059.0,1659.0,6370.0,3700.0,4330.0,1165.0,2575.0,2372.5,4095.0,4710.0,1173.0,1838.0,10075.0,3235.0,1228.75,235.75,16530.0,5170.0,974.4444580078125,6280.0,897.0,1244.0,1415.0,2560.0,2801.0,9030.0,813.75,2848.0,3285.0,1999.0,1263.0,1252.0,717.0,1379.0,5460.0,1238.0,1954.0,2156.666748046875,1351.0,643.0,507.0,4970.0,4995.0,2120.0,1821.0,786.0,2791.0,1356.5,2695.0,1600.0,1108.3333740234375,3370.0,2743.0,4685.0,8160.0,4355.0,2424.0,1040.0,2080.0,51.5,2030.0,,5990.0,4890.0,12483.3330078125,4355.0,15299.8603515625
2013-12-09,1926.0,1403.0,628.75,2953.0,1534.0,1467.0,3525.0,3760.0,714.0,804.0,5880.0,467.0,3275.0,5090.0,1188.0,2190.0,782.6666870117188,4000.0,1596.0,1282.5,615.3333129882812,2903.0,3690.0,566.0,2786.0,1657.0,524.0,3785.0,3310.0,2534.0,1642.0,,,24350.0,2025.0,1674.0,6430.0,3765.0,4240.0,1227.0,2590.0,2360.0,4105.0,4800.0,1158.0,1813.0,10350.0,3130.0,1275.0,226.5,16910.0,5130.0,994.4444580078125,6310.0,889.0,1236.0,1391.6666259765625,2606.0,2846.0,8890.0,813.75,2860.0,3275.0,2060.0,1258.0,1254.0,715.0,1355.0,5480.0,1226.0,1969.0,2170.0,1357.0,635.0,506.0,5000.0,5030.0,2110.0,1756.0,777.0,2763.0,1482.0,2635.0,1584.0,1108.3333740234375,3405.0,2801.0,4675.0,8180.0,4370.0,2400.0,1030.0,2070.0,53.5,2100.0,,6050.0,4635.0,12700.0,4450.0,15403.1103515625
2013-12-16,1995.0,1456.0,623.25,2964.0,1500.0,1509.0,3365.0,4050.0,725.0,798.0,6080.0,480.0,3240.0,5020.0,1208.0,2224.0,763.6666870117188,3955.0,1676.0,1292.5,629.3333129882812,2897.0,3637.5,585.0,2862.0,1643.0,526.0,3870.0,3410.0,2610.0,1722.0,,,25630.0,2102.0,1686.0,6440.0,3825.0,4260.0,1271.0,2650.0,2442.5,4485.0,5300.0,1215.0,1827.0,11187.5,3075.0,1300.0,224.0,18800.0,5280.0,1005.5555419921875,6330.0,871.0,1234.0,1433.3333740234375,2747.0,2903.0,9020.0,836.25,2877.0,3325.0,2183.0,1378.0,1247.0,716.0,1400.0,5530.0,1268.0,1967.0,2063.333251953125,1377.0,654.0,512.0,5400.0,5280.0,2140.0,1791.0,776.0,2865.0,1443.5,2702.0,1687.0,1141.6666259765625,3590.0,3020.0,4960.0,8270.0,4510.0,2450.0,1046.6666259765625,2070.0,54.900001525878906,2060.0,,6140.0,4875.0,13950.0,4460.0,15870.419921875
2013-12-23,2032.0,1482.0,647.75,2943.0,1510.0,1514.0,3435.0,4190.0,720.0,808.0,6130.0,480.0,3280.0,4835.0,1226.0,2267.0,758.3333129882812,4010.0,1844.0,1255.0,642.6666870117188,3010.0,3780.0,583.0,2936.0,1665.0,524.0,3990.0,3520.0,2682.0,1728.0,,,26510.0,2121.0,1730.0,6490.0,3950.0,4370.0,1295.0,2725.0,2572.5,4635.0,5460.0,1215.0,1785.0,11062.5,3090.0,1377.5,241.5,19120.0,5180.0,1030.0,6510.0,882.0,1278.0,1433.3333740234375,2813.0,2989.0,9000.0,827.5,2885.0,3300.0,2356.0,1402.0,1278.0,738.0,1431.0,5710.0,1293.0,1979.0,1950.0,1412.0,677.0,529.0,5540.0,5410.0,2210.0,1863.0,808.0,2932.0,1517.5,2802.0,1751.0,1170.0,3710.0,3085.0,5160.0,8290.0,4550.0,2446.0,1106.6666259765625,2100.0,55.29999923706055,2146.666748046875,,6280.0,4965.0,14433.3330078125,4610.0,16178.9404296875
